entrez	cytoband	symbol	arm
105371209	1q21.1	LOC105371209	1q
105371211	1q21.1	LOC105371211	1q
105371214	1q21.1	LOC105371214	1q
105371215	1q21.1	LOC105371215	1q
105371216	1q21.1	LOC105371216	1q
105371217	1q21.1	LOC105371217	1q
105371219	1q21.1	LOC105371219	1q
105371222	1q21.2	LOC105371222	1q
105371223	1q21.2	LOC105371223	1q
105371224	1q21.2	LOC105371224	1q
105371225	1q21.2	LOC105371225	1q
105371226	1q21.2	LINC01731	1q
105371227	1q21.2	LOC105371227	1q
105371228	1q21.2	LOC105371228	1q
105371229	1q21.2	LOC105371229	1q
105371230	1q21.2	LOC105371230	1q
105371231	1q21.1	LOC105371231	1q
105371233	1q21.1	LOC105371233	1q
105371235	1q21.1	LOC105371235	1q
105371236	16q12.1	LOC105371236	16q
105371237	16q12.1	LOC105371237	16q
105371238	16q12.1	LINC02134	16q
105371239	16q12.1	LOC105371239	16q
105371240	16q12.1	LOC105371240	16q
105371241	16q12.1	LOC105371241	16q
105371242	1q21.1	PPIAL4H	1q
105371243	16q12.1	LOC105371243	16q
105371244	16q12.1	LOC105371244	16q
105371245	16q12.1	LOC105371245	16q
105371248	16q12.1	LINC02178	16q
105371251	16q12.1	LOC105371251	16q
105371252	16q12.1	LINC02168	16q
105371253	16q12.1	LOC105371253	16q
105371254	1q21.1	LOC105371254	1q
105371256	16q12.1	LOC105371256	16q
105371257	16q12.1	LOC105371257	16q
105371259	16q12.1	LOC105371259	16q
105371260	1q21.1	LIX1L-AS1	1q
105371261	16q12.1	LOC105371261	16q
105371262	16q12.1	LOC105371262	16q
105371264	16q12.2	LOC105371264	16q
105371265	16q12.1	LOC105371265	16q
105371267	16q12.2	LOC105371267	16q
105371268	16q12.2	LOC105371268	16q
105371269	16q12.2	LOC105371269	16q
105371271	16q12.2	LOC105371271	16q
105371272	16q12.2	LOC105371272	16q
105371273	16q12.2	LINC02183	16q
105371274	16q12.2	LOC105371274	16q
105371275	16q12.2	LOC105371275	16q
105371276	16q12.2	LOC105371276	16q
105371277	16q12.2	LOC105371277	16q
105371278	16q12.2	LOC105371278	16q
105371279	16q12.2	LOC105371279	16q
105371280	16q12.2	LOC105371280	16q
105371281	16q13	LOC105371281	16q
105371283	16q13	LOC105371283	16q
105371286	16q13	LOC105371286	16q
105371287	16q13	LOC105371287	16q
105371288	1q21.1	LOC105371288	1q
105371289	16q13	LOC105371289	16q
105371291	16q21	LOC105371291	16q
105371293	16q21	LOC105371293	16q
105371295	16q21	LINC02137	16q
105371296	16q21	LOC105371296	16q
105371298	16q21	LOC105371298	16q
105371299	16q21	LOC105371299	16q
105371300	16q21	LOC105371300	16q
105371301	16q21	LOC105371301	16q
105371302	16q21	LOC105371302	16q
105371305	16q21	LOC105371305	16q
105371306	16q21	LOC105371306	16q
105371307	16q21	LOC105371307	16q
105371308	16q21	LOC105371308	16q
105371309	16q21	LOC105371309	16q
105371310	16q21	LOC105371310	16q
105371311	16q21	LOC105371311	16q
105371312	1q21.1	LOC105371312	1q
105371313	16q21	LOC105371313	16q
105371314	16q21	LOC105371314	16q
105371316	16q21	LOC105371316	16q
105371317	16q21	LOC105371317	16q
105371318	16q21	LOC105371318	16q
105371321	16q22.1	LOC105371321	16q
105371325	16q22.1	LOC105371325	16q
105371328	16q22.1	LOC105371328	16q
105371332	16q22.2	LOC105371332	16q
105371333	16q22.2	LINC02136	16q
105371334	16q22.2	LOC105371334	16q
105371335	16q22.2	LOC105371335	16q
105371337	16q22.2	LOC105371337	16q
105371341	16q22.2	LOC105371341	16q
105371342	16q22.3	LOC105371342	16q
105371343	16q23.1	LOC105371343	16q
105371344	16q23.1	LOC105371344	16q
105371345	16q23.1	LOC105371345	16q
105371347	16q23.1	LOC105371347	16q
105371348	16q23.1	LOC105371348	16q
105371349	16q23.1	LOC105371349	16q
105371350	16q23.1	LINC02131	16q
105371351	16q23.1	LOC105371351	16q
105371354	16q23.1	LOC105371354	16q
105371356	16q23.2	LOC105371356	16q
105371357	16q23.2	LOC105371357	16q
105371358	16q23.2	LOC105371358	16q
105371360	16q23.2	LOC105371360	16q
105371361	16q23.2	LOC105371361	16q
105371362	16q23.3	LOC105371362	16q
105371363	16q23.3	LOC105371363	16q
105371366	16q23.3	LOC105371366	16q
105371368	16q23.3	LOC105371368	16q
105371370	16q23.3	LOC105371370	16q
105371371	16q23.3	LOC105371371	16q
105371372	16q23.3	LOC105371372	16q
105371374	16q24.1	ATP2C2-AS1	16q
105371376	16q24.1	LOC105371376	16q
105371378	16q24.1	LOC105371378	16q
105371379	16q24.1	LINC02176	16q
105371380	16q24.1	LOC105371380	16q
105371381	16q24.1	LOC105371381	16q
105371382	16q24.1	LOC105371382	16q
105371388	16q24.1	LOC105371388	16q
105371389	16q24.1	LOC105371389	16q
105371392	16q24.1	LOC105371392	16q
105371393	16q24.1-q24.2	LOC105371393	16q
105371394	16q24.2	LOC105371394	16q
105371399	16q24.2	LOC105371399	16q
105371401	16q24.2	LOC105371401	16q
105371403	1q21.2	LOC105371403	1q
105371406	1q21.2	LOC105371406	1q
105371409	16q24.3	LOC105371409	16q
105371411	16q24.3	LOC105371411	16q
105371412	16q24.3	LOC105371412	16q
105371413	16q24.3	LOC105371413	16q
105371414	16q24.3	LOC105371414	16q
105371416	16q24.3	LINC02166	16q
105371419	16q24.3	LOC105371419	16q
105371423	16q24.3	LINC02193	16q
105371425	17p13.3	LOC105371425	17p
105371427	1q21.2	LOC105371427	1q
105371430	17p13.3	LOC105371430	17p
105371433	1q21.2	LOC105371433	1q
105371434	1q21.2	LOC105371434	1q
105371438	1q21.3	LOC105371438	1q
105371441	1q21.3	LOC105371441	1q
105371442	1q21.3	LOC105371442	1q
105371444	1q21.3	LOC105371444	1q
105371445	1q21.3	LOC105371445	1q
105371446	1q21.3	LOC105371446	1q
105371448	1q21.3	LOC105371448	1q
105371449	1q21.3	LOC105371449	1q
105371450	1q22	LOC105371450	1q
105371452	1q22	LOC105371452	1q
105371453	1q23.1	LOC105371453	1q
105371455	1q23.1	LOC105371455	1q
105371456	1q23.1	LOC105371456	1q
105371457	1q23.1	LOC105371457	1q
105371458	1q23.1	LOC105371458	1q
105371459	1q23.1	LOC105371459	1q
105371460	1q23.1	LOC105371460	1q
105371461	1q23.1	LOC105371461	1q
105371462	1q23.2	LOC105371462	1q
105371464	1q23.2	LOC105371464	1q
105371466	1q23.2	LOC105371466	1q
105371467	1q23.2	LOC105371467	1q
105371468	1q23.3	LOC105371468	1q
105371470	1q23.3	LOC105371470	1q
105371471	1q23.3	LOC105371471	1q
105371472	1q23.3	LOC105371472	1q
105371473	1q23.3	LOC105371473	1q
105371475	1q23.3	LOC105371475	1q
105371479	17p13.3	LOC105371479	17p
105371480	17p13.3	LOC105371480	17p
105371481	17p13.3	LOC105371481	17p
105371483	17p13.3	LOC105371483	17p
105371485	17p13.3	LOC105371485	17p
105371486	17p13.3	LOC105371486	17p
105371490	17p13.3	LOC105371490	17p
105371492	17p13.2	LOC105371492	17p
105371493	17p13.2	LOC105371493	17p
105371496	17p13.2	LINC01975	17p
105371497	1q23.3	LOC105371497	1q
105371498	17p13.2	LOC105371498	17p
105371499	17p13.2	LOC105371499	17p
105371501	17p13.2	LOC105371501	17p
105371502	17p13.2	LOC105371502	17p
105371505	17p13.2	LOC105371505	17p
105371506	17p13.2	LOC105371506	17p
105371507	17p13.2	LOC105371507	17p
105371508	17p13.2	LOC105371508	17p
105371509	17p13.2	LOC105371509	17p
105371512	17p13.1	LOC105371512	17p
105371516	17p13.1	LOC105371516	17p
105371517	17p13.1	LOC105371517	17p
105371520	17p13.1	LOC105371520	17p
105371525	17p13.1	LOC105371525	17p
105371526	17p13.1	LOC105371526	17p
105371529	17p13.1	LOC105371529	17p
105371530	17p13.1	LOC105371530	17p
105371531	17p13.1	LOC105371531	17p
105371532	17p13.1	LOC105371532	17p
105371536	17p12	LOC105371536	17p
105371540	17p12	LOC105371540	17p
105371541	17p12	LINC02093	17p
105371543	17p12	LOC105371543	17p
105371544	17p12	LOC105371544	17p
105371545	17p12	LOC105371545	17p
105371547	17p12	LOC105371547	17p
105371551	17p11.2	LOC105371551	17p
105371552	17p11.2	LOC105371552	17p
105371553	17p11.2	LOC105371553	17p
105371554	17p11.2	LOC105371554	17p
105371557	17p12	LOC105371557	17p
105371559	17p12	LOC105371559	17p
105371560	17p12	LOC105371560	17p
105371561	1q23.3	LOC105371561	1q
105371562	17p11.2	LINC02090	17p
105371564	17p11.2	SMCR2	17p
105371566	17p11.2	LOC105371566	17p
105371567	17p11.2	LOC105371567	17p
105371569	17p11.2	LOC105371569	17p
105371570	17p11.2	LOC105371570	17p
105371573	17p11.2	LOC105371573	17p
105371574	17p11.2	LOC105371574	17p
105371578	17p11.2	LOC105371578	17p
105371579	17p11.2	LOC105371579	17p
105371580	17p11.2	LOC105371580	17p
105371581	1q24.1	LOC105371581	1q
105371582	17p11.2	LINC02088	17p
105371583	17p11.2	LOC105371583	17p
105371586	1q24.1	LOC105371586	1q
105371589	17p11.2	LOC105371589	17p
105371590	1q24.1	LINC01675	1q
105371592	17p13.3	LOC105371592	17p
105371595	17p11.2	LINC02002	17p
105371597	17p11.2	LOC105371597	17p
105371598	1q24.1	LOC105371598	1q
105371600	1q24.1	LOC105371600	1q
105371601	1q24.1	LOC105371601	1q
105371604	1q24.2	LOC105371604	1q
105371605	1q24.2	LOC105371605	1q
105371606	1q24.2	LOC105371606	1q
105371608	1q24.2	LOC105371608	1q
105371609	1q24.2	LINC01681	1q
105371610	1q24.2	LOC105371610	1q
105371611	1q24.3	LOC105371611	1q
105371614	1q24.3	LOC105371614	1q
105371618	1q24.3	LOC105371618	1q
105371619	1q25.1	LOC105371619	1q
105371620	1q25.1	LOC105371620	1q
105371622	1q25.1	LOC105371622	1q
105371623	1q25.1	LOC105371623	1q
105371625	1q25.2	LOC105371625	1q
105371629	1q25.2	LOC105371629	1q
105371630	1q25.2	LOC105371630	1q
105371631	1q25.2	LOC105371631	1q
105371632	1q25.2	LOC105371632	1q
105371634	1q25.2	LOC105371634	1q
105371635	1q25.2	LOC105371635	1q
105371636	1q25.2	LOC105371636	1q
105371637	1q25.3	LOC105371637	1q
105371638	1q25.3	LOC105371638	1q
105371640	1q25.3	LOC105371640	1q
105371642	1q25.3	LOC105371642	1q
105371644	1q25.3	LINC01688	1q
105371646	1q25.3	LOC105371646	1q
105371648	1q25.3	LOC105371648	1q
105371649	1q25.3	LOC105371649	1q
105371651	1q25.3	LOC105371651	1q
105371653	1q25.3	GS1-204I12.4	1q
105371654	1q31.1	LOC105371654	1q
105371655	1q31.1	LOC105371655	1q
105371656	1q31.1	LOC105371656	1q
105371657	1q31.1	LOC105371657	1q
105371658	1q31.1	LOC105371658	1q
105371659	1q31.1	LOC105371659	1q
105371660	1q31.2	LINC01680	1q
105371661	1q31.2	LOC105371661	1q
105371662	1q31.2	LOC105371662	1q
105371664	1q31.2	LOC105371664	1q
105371665	1q31.2	LOC105371665	1q
105371667	1q31.2	LOC105371667	1q
105371668	1q31.2	LOC105371668	1q
105371670	1q31.3	LOC105371670	1q
105371671	1q31.3	LOC105371671	1q
105371672	1q31.3	LOC105371672	1q
105371673	1q31.3	LINC01724	1q
105371674	1q31.3	LOC105371674	1q
105371675	1q31.3	LOC105371675	1q
105371677	1q31.3	LOC105371677	1q
105371679	1q32.1	LOC105371679	1q
105371680	1q32.1	LOC105371680	1q
105371682	1q32.1	LOC105371682	1q
105371683	1q32.1	LOC105371683	1q
105371684	1q32.1	LOC105371684	1q
105371686	1q32.1	LOC105371686	1q
105371687	1q32.1	LOC105371687	1q
105371688	1q32.1	LOC105371688	1q
105371689	1q32.1	LOC105371689	1q
105371692	1q32.1	LOC105371692	1q
105371693	1q32.1	LOC105371693	1q
105371694	1q32.1	LOC105371694	1q
105371695	1q32.1	LOC105371695	1q
105371698	1q32.1	LOC105371698	1q
105371701	1q32.1	LOC105371701	1q
105371702	1q32.1	LOC105371702	1q
105371703	17q11.1	LOC105371703	17q
105371704	17q11.1	LOC105371704	17q
105371705	17q11.2	LOC105371705	17q
105371708	17q11.2	LINC01992	17q
105371709	17q11.2	LOC105371709	17q
105371710	17q11.2	LOC105371710	17q
105371711	17q11.2	LOC105371711	17q
105371712	17q11.2	LOC105371712	17q
105371716	17q11.2	LOC105371716	17q
105371720	17q11.2	LOC105371720	17q
105371721	17q11.2	LOC105371721	17q
105371722	17q11.2	LOC105371722	17q
105371723	17q11.2	LOC105371723	17q
105371725	17q11.2	LOC105371725	17q
105371727	17q11.2	LOC105371727	17q
105371729	1q22	LOC105371729	1q
105371730	17q11.2	LOC105371730	17q
105371731	17q11.2	LOC105371731	17q
105371732	17q11.2	LOC105371732	17q
105371734	17q11.2	LOC105371734	17q
105371735	17q12	LOC105371735	17q
105371737	17q11.2	LOC105371737	17q
105371738	17q12	LOC105371738	17q
105371739	17q12	LOC105371739	17q
105371740	17q12	LOC105371740	17q
105371741	17q12	LOC105371741	17q
105371742	17q12	LOC105371742	17q
105371743	17q12	LINC02001	17q
105371744	17q12	LOC105371744	17q
105371745	17q12	LOC105371745	17q
105371746	17q12	LOC105371746	17q
105371747	17q12	LOC105371747	17q
105371749	17q12	LOC105371749	17q
105371750	17q12	LOC105371750	17q
105371751	17q12	LOC105371751	17q
105371753	17q12	LOC105371753	17q
105371754	17q12	LOC105371754	17q
105371755	17q12	LOC105371755	17q
105371756	17q12	LOC105371756	17q
105371757	17q12	LOC105371757	17q
105371760	17q12	LOC105371760	17q
105371761	17q12	LOC105371761	17q
105371762	17q12	LOC105371762	17q
105371763	17q12	LOC105371763	17q
105371764	17q12	LOC105371764	17q
105371766	17q12	LINC02079	17q
105371767	17q12	LOC105371767	17q
105371768	17q12	LOC105371768	17q
105371770	17q12	LOC105371770	17q
105371771	17q12	LOC105371771	17q
105371773	17q21.2	LOC105371773	17q
105371775	17q21.2	LOC105371775	17q
105371776	17q21.2	LOC105371776	17q
105371777	17q21.2	LOC105371777	17q
105371778	17q21.2	LOC105371778	17q
105371781	17q21.2	LOC105371781	17q
105371785	17q21.31	LOC105371785	17q
105371786	17q21.31	LINC02594	17q
105371787	17q21.31	LOC105371787	17q
105371788	17q21.31	LOC105371788	17q
105371789	17q21.31	LOC105371789	17q
105371790	17q21.31	LOC105371790	17q
105371791	17q21.31	LOC105371791	17q
105371792	17q21.31	LOC105371792	17q
105371793	17q21.31	LOC105371793	17q
105371795	17q21.31	LOC105371795	17q
105371796	17q21.31	LOC105371796	17q
105371798	17q21.32	LINC01974	17q
105371800	17q21.31	LOC105371800	17q
105371807	17q21.32	THRA1/BTR	17q
105371808	17q21.32	LOC105371808	17q
105371809	17q21.32	LINC02086	17q
105371811	17q21.32	LOC105371811	17q
105371812	17q21.32	LOC105371812	17q
105371813	17q21.32	LOC105371813	17q
105371814	17q21.32	LOC105371814	17q
105371816	17q21.32	LOC105371816	17q
105371817	17q21.33	LOC105371817	17q
105371818	17q21.33	LOC105371818	17q
105371819	17q21.33	LOC105371819	17q
105371820	17q21.33	LOC105371820	17q
105371822	17q21.33	LOC105371822	17q
105371824	17q21.33	LOC105371824	17q
105371825	17q21.33	LOC105371825	17q
105371828	17q21.33	LINC02073	17q
105371829	17q22	LOC105371829	17q
105371830	17q22	LINC01982	17q
105371831	17q22	LINC02089	17q
105371833	17q22	LOC105371833	17q
105371836	17q22	LOC105371836	17q
105371839	17q22	LOC105371839	17q
105371840	17q22	LOC105371840	17q
105371841	17q22	LOC105371841	17q
105371842	17q22	LOC105371842	17q
105371843	17q22	LOC105371843	17q
105371844	17q22	LOC105371844	17q
105371845	17q23.1	LOC105371845	17q
105371847	17q23.1	LOC105371847	17q
105371848	17q23.1	LOC105371848	17q
105371849	17q23.1	LOC105371849	17q
105371850	17q23.2	LOC105371850	17q
105371853	17q23.2	LOC105371853	17q
105371854	17q23.2	LOC105371854	17q
105371856	17q23.3	LOC105371856	17q
105371857	17q23.3	LOC105371857	17q
105371858	17q23.3	LOC105371858	17q
105371860	17q24.1	LOC105371860	17q
105371864	17q24.1	LOC105371864	17q
105371867	17q24.1	LOC105371867	17q
105371870	17q24.2	LOC105371870	17q
105371871	17q24.2	LOC105371871	17q
105371873	17q24.2	LOC105371873	17q
105371874	17q24.2	LOC105371874	17q
105371877	17q24.2	LOC105371877	17q
105371878	17q24.3	LOC105371878	17q
105371879	17q24.3	LOC105371879	17q
105371880	17q24.3	LOC105371880	17q
105371881	17q24.3	LOC105371881	17q
105371882	17q24.3	LOC105371882	17q
105371884	17q24.3	LOC105371884	17q
105371887	17q24.3	LOC105371887	17q
105371888	17q25.1	LOC105371888	17q
105371891	17q25.1	LOC105371891	17q
105371893	17q25.1	LOC105371893	17q
105371894	17q25.1	LOC105371894	17q
105371896	17q25.1	LOC105371896	17q
105371898	17q25.1	PTMAP13	17q
105371899	17q25.2	LOC105371899	17q
105371900	17q25.2	LOC105371900	17q
105371901	17q25.2	LOC105371901	17q
105371903	17q25.3	LOC105371903	17q
105371906	17q25.3	LACAT1	17q
105371907	17q25.3	LOC105371907	17q
105371908	17q25.3	LOC105371908	17q
105371909	17q25.3	LOC105371909	17q
105371910	17q25.3	LOC105371910	17q
105371912	17q25.3	LOC105371912	17q
105371919	17q25.3	LINC01977	17q
105371921	17q25.3	LOC105371921	17q
105371922	17q25.3	LOC105371922	17q
105371925	17q25.3	LOC105371925	17q
105371926	17q25.3	LOC105371926	17q
105371927	17q25.3	LINC01971	17q
105371929	17q25.3	LOC105371929	17q
105371930	17q11.2	LOC105371930	17q
105371932	17q12	LOC105371932	17q
105371933	17q12	LOC105371933	17q
105371934	17q21.2	LOC105371934	17q
105371936	17q23.2	LOC105371936	17q
105371939	17q25.3	LOC105371939	17q
105371941	17q25.3	LOC105371941	17q
105371942	17q25.3	LOC105371942	17q
105371944	17q25.3	LOC105371944	17q
105371948	17q25.3	LOC105371948	17q
105371950	18p11.32	LOC105371950	18p
105371951	18p11.32	LOC105371951	18p
105371952	18p11.32	LOC105371952	18p
105371953	18p11.32	LOC105371953	18p
105371954	18p11.32	LOC105371954	18p
105371956	18p11.32	LOC105371956	18p
105371957	18p11.32	LOC105371957	18p
105371958	18p11.32	LOC105371958	18p
105371959	18p11.32	LOC105371959	18p
105371960	18p11.32	LOC105371960	18p
105371961	18p11.32	LOC105371961	18p
105371963	18p11.31	LOC105371963	18p
105371964	18p11.31	LINC01895	18p
105371965	18p11.31	LOC105371965	18p
105371967	18p11.31	LOC105371967	18p
105371968	18p11.31	LOC105371968	18p
105371969	18p11.31	LINC01892	18p
105371970	18p11.31	LOC105371970	18p
105371972	18p11.31	LOC105371972	18p
105371973	18p11.23	LOC105371973	18p
105371974	18p11.23	LOC105371974	18p
105371975	18p11.23	LOC105371975	18p
105371976	18p11.23	LOC105371976	18p
105371980	18p11.22	LOC105371980	18p
105371981	18p11.22	LOC105371981	18p
105371982	18p11.22	LOC105371982	18p
105371983	18p11.22	LOC105371983	18p
105371984	18p11.22	LOC105371984	18p
105371985	18p11.22	LOC105371985	18p
105371986	18p11.22	LOC105371986	18p
105371987	18p11.22	LOC105371987	18p
105371988	18p11.22	LOC105371988	18p
105371989	18p11.22	LOC105371989	18p
105371990	18p11.22	LOC105371990	18p
105371992	18p11.21	LOC105371992	18p
105371993	18p11.21	LOC105371993	18p
105371994	18p11.21	LINC01928	18p
105371995	18p11.21	LOC105371995	18p
105371996	18p11.21	LOC105371996	18p
105371998	18p11.21	LOC105371998	18p
105372003	18p11.21	LOC105372003	18p
105372004	18p11.21	LOC105372004	18p
105372005	18p11.21	LOC105372005	18p
105372006	18p11.21	LOC105372006	18p
105372007	18p11.21	LOC105372007	18p
105372008	18p11.21	LOC105372008	18p
105372009	18p11.21	LOC105372009	18p
105372010	18p11.21	LOC105372010	18p
105372011	18p11.21	LINC01906	18p
105372016	18q11.2	LOC105372016	18q
105372017	18q11.2	LOC105372017	18q
105372018	18q11.2	LOC105372018	18q
105372019	18q11.2	LOC105372019	18q
105372023	18q11.2	LOC105372023	18q
105372026	18q11.2	LOC105372026	18q
105372027	18q11.2	LOC105372027	18q
105372028	18q11.2	LOC105372028	18q
105372029	18q11.2	LOC105372029	18q
105372030	18q11.2	LINC01894	18q
105372031	18q11.2	LOC105372031	18q
105372034	18q11.2	LOC105372034	18q
105372035	18q11.2	LOC105372035	18q
105372036	18q11.2	LOC105372036	18q
105372037	18q11.2	LINC01908	18q
105372038	18q11.2	LOC105372038	18q
105372040	18q11.2	LOC105372040	18q
105372041	18q11.2	LOC105372041	18q
105372042	18q12.1	LOC105372042	18q
105372043	18q12.1	LOC105372043	18q
105372044	18q12.1	LOC105372044	18q
105372045	18q12.1	LOC105372045	18q
105372046	18q12.1	LOC105372046	18q
105372047	18q12.1	LOC105372047	18q
105372049	18q12.1	LOC105372049	18q
105372055	18q12.1	LOC105372055	18q
105372058	18q12.1	LOC105372058	18q
105372059	18q12.1	LOC105372059	18q
105372061	18q12.1	LOC105372061	18q
105372063	18q12.2	LOC105372063	18q
105372064	18q12.2	LOC105372064	18q
105372065	18q12.2	LOC105372065	18q
105372066	18q12.2	LOC105372066	18q
105372068	18q12.2	LOC105372068	18q
105372069	18q12.2	LOC105372069	18q
105372071	18q12.2	LOC105372071	18q
105372072	18q12.2	LOC105372072	18q
105372073	18q12.2	LOC105372073	18q
105372074	18q12.2	LOC105372074	18q
105372076	18q12.2	LOC105372076	18q
105372077	18q12.2	LOC105372077	18q
105372079	18q12.3	LINC01902	18q
105372080	18q12.3	LINC01901	18q
105372081	18q12.3	LOC105372081	18q
105372082	18q12.3	LOC105372082	18q
105372083	18q12.3	LOC105372083	18q
105372084	18q12.3	LOC105372084	18q
105372085	18q12.3	LOC105372085	18q
105372087	18q12.3	LOC105372087	18q
105372088	18q12.3	LOC105372088	18q
105372089	18q12.3	LOC105372089	18q
105372091	18q12.3	LOC105372091	18q
105372092	18q12.3	LOC105372092	18q
105372093	18q12.3	LOC105372093	18q
105372095	18q21.1	LOC105372095	18q
105372096	18q21.1	LOC105372096	18q
105372097	18q21.1	LOC105372097	18q
105372098	18q21.1	LOC105372098	18q
105372100	18q21.1	LOC105372100	18q
105372101	18q21.1	LOC105372101	18q
105372104	18q21.1	LOC105372104	18q
105372105	18q21.1	LOC105372105	18q
105372106	18q21.1	LOC105372106	18q
105372107	18q21.1	LOC105372107	18q
105372108	18q21.1	LOC105372108	18q
105372109	18q21.1	LOC105372109	18q
105372112	18q21.1	LOC105372112	18q
105372114	18q21.1	LOC105372114	18q
105372115	18q21.1	LOC105372115	18q
105372116	18q21.2	LOC105372116	18q
105372117	18q21.2	LOC105372117	18q
105372118	18q21.2	LOC105372118	18q
105372120	18q21.2	LOC105372120	18q
105372121	18q21.2	LOC105372121	18q
105372125	18q21.2	LOC105372125	18q
105372126	18q21.2	LOC105372126	18q
105372127	18q21.2	TCF4-AS1	18q
105372130	18q21.2	LOC105372130	18q
105372131	18q21.2	LOC105372131	18q
105372132	18q21.2	LOC105372132	18q
105372133	18q21.2	LOC105372133	18q
105372135	18q21.31	LOC105372135	18q
105372136	18q21.31	LOC105372136	18q
105372138	18q21.31	LINC02565	18q
105372140	18q21.31	LOC105372140	18q
105372141	18q21.31	LOC105372141	18q
105372143	18q21.31	LOC105372143	18q
105372145	18q21.31	LOC105372145	18q
105372146	18q21.32	LOC105372146	18q
105372147	18q21.32	LINC01926	18q
105372151	18q21.32	LOC105372151	18q
105372152	18q21.32	LOC105372152	18q
105372155	18q21.32	LOC105372155	18q
105372156	18q21.32	LOC105372156	18q
105372157	18q21.33	LOC105372157	18q
105372158	18q21.33	LOC105372158	18q
105372159	18q21.33	LOC105372159	18q
105372160	18q21.33	LOC105372160	18q
105372161	18q21.33	LOC105372161	18q
105372165	18q22.1	LOC105372165	18q
105372166	18q22.1	LOC105372166	18q
105372167	18q22.1	LOC105372167	18q
105372168	18q22.1	LOC105372168	18q
105372169	18q22.1	LOC105372169	18q
105372170	18q22.1	LOC105372170	18q
105372172	18q22.1	LOC105372172	18q
105372173	18q22.1	LOC105372173	18q
105372174	18q22.1	LOC105372174	18q
105372175	18q22.1	LINC01912	18q
105372178	18q22.2	LOC105372178	18q
105372179	18q22.2	LOC105372179	18q
105372180	18q22.2	LOC105372180	18q
105372185	18q22.2	LOC105372185	18q
105372186	18q22.3	LOC105372186	18q
105372187	18q22.3	LOC105372187	18q
105372188	18q22.3	LOC105372188	18q
105372189	18q22.3	LOC105372189	18q
105372190	18q22.3	LOC105372190	18q
105372191	18q22.3	LOC105372191	18q
105372194	18q22.3	LOC105372194	18q
105372200	18q23	LOC105372200	18q
105372201	18q23	LOC105372201	18q
105372202	18q23	LOC105372202	18q
105372203	18q23	LOC105372203	18q
105372204	18q23	LOC105372204	18q
105372206	18q23	LOC105372206	18q
105372207	18q23	LINC01893	18q
105372208	18q23	LOC105372208	18q
105372209	18q23	LOC105372209	18q
105372210	18q23	LOC105372210	18q
105372211	18q23	LOC105372211	18q
105372212	18q23	LOC105372212	18q
105372213	18q23	LOC105372213	18q
105372214	18q23	LOC105372214	18q
105372217	18q23	LOC105372217	18q
105372218	18q23	LOC105372218	18q
105372219	18q23	LOC105372219	18q
105372220	18q23	LOC105372220	18q
105372221	18q23	LOC105372221	18q
105372224	18q23	LOC105372224	18q
105372225	18q23	LOC105372225	18q
105372226	18q23	LOC105372226	18q
105372228	18q23	LOC105372228	18q
105372232	19p13.3	LOC105372232	19p
105372233	19p13.3	LOC105372233	19p
105372234	19p13.3	LOC105372234	19p
105372235	19p13.3	LOC105372235	19p
105372236	19p13.3	LOC105372236	19p
105372238	19p13.3	LOC105372238	19p
105372240	19p13.3	LOC105372240	19p
105372242	19p13.3	LOC105372242	19p
105372243	19p13.3	LOC105372243	19p
105372244	19p13.3	LOC105372244	19p
105372245	19p13.3	LOC105372245	19p
105372246	19p13.3	LOC105372246	19p
105372248	19p13.3	LOC105372248	19p
105372249	19p13.3	LOC105372249	19p
105372250	19p13.3	LOC105372250	19p
105372252	19p13.3	LOC105372252	19p
105372253	19p13.3	LOC105372253	19p
105372255	19p13.3	LOC105372255	19p
105372256	19p13.2	LOC105372256	19p
105372257	19p13.2	LOC105372257	19p
105372261	19p13.2	LOC105372261	19p
105372262	19p13.2	LOC105372262	19p
105372263	19p13.2	LOC105372263	19p
105372266	19p13.2	LOC105372266	19p
105372267	19p13.2	LINC01862	19p
105372268	19p13.2	LOC105372268	19p
105372269	19p13.2	LOC105372269	19p
105372270	19p13.2	LOC105372270	19p
105372272	19p13.2	LOC105372272	19p
105372273	19p13.2	LOC105372273	19p
105372274	19p13.2	HSPC102	19p
105372275	19p13.2	LOC105372275	19p
105372278	19p13.2	LOC105372278	19p
105372279	19p13.13	LOC105372279	19p
105372280	19p13.13	GNG14	19p
105372281	19p13.13	LOC105372281	19p
105372282	19p13.13	LOC105372282	19p
105372283	19p13.13	LOC105372283	19p
105372284	19p13.13	LOC105372284	19p
105372288	19p13.12	LINC01841	19p
105372290	19p13.12	LINC01764	19p
105372291	19p13.12	LOC105372291	19p
105372292	19p13.12	LINC01855	19p
105372295	19p13.11	LOC105372295	19p
105372296	19p13.11	LOC105372296	19p
105372298	19p13.11	LOC105372298	19p
105372300	19p13.11	LOC105372300	19p
105372308	19p12	LOC105372308	19p
105372309	19p12	LOC105372309	19p
105372310	19p12	LOC105372310	19p
105372311	19p12	LOC105372311	19p
105372314	19p12	LOC105372314	19p
105372315	19p12	LOC105372315	19p
105372316	19p12	LOC105372316	19p
105372317	19p12	LOC105372317	19p
105372318	19p12	LOC105372318	19p
105372319	19p12	LOC105372319	19p
105372321	19p12	LOC105372321	19p
105372323	19p12	LOC105372323	19p
105372324	19p12	LOC105372324	19p
